                                                      The SAS System                     11:23 Tuesday, April 18, 2023   1

                                         Obs    gender    age    weight    height

                                           1      M        53       70       170 
                                           2      F        51       55       164 
                                           3      F        18       50       165 
                                           4      M        24       65       174 
                                           5      &         .        .         . 
                                           6      &         .        .         . 
                                           7      F        48      110       159 
                                           8      M        80       65       168 
                                           9      M        80       75       167 
                                          10      &         .        .         . 
                                          11      &         .        .         . 
                                          12      F        20       60       165 
                                          13      &         .        .         . 
                                          14      M        34      130       180 
                                          15      M        34      130       180 
                                          16      F        50       60       166 
                                          17      &         .        .         . 
                                          18      &         .        .         . 
                                          19      F        40       60       172 
                                          20      &         .        .         . 
                                          21      F        54       60       164 
                                          22      M        56       70       169 
                                          23      &         .        .         . 
                                          24      &         .        .         . 
                                          25      &         .        .         . 
                                          26      F        45       65       175 
                                          27      F        45       65       175 
                                          28      &         .        .         . 
                                          29      F        59       86       178 
                                          30      F        26       65       165 
