                                          The SAS System          22:58 Sunday, April 17, 2016   1

                                        Obs    id    year

                                         1      1    2001
                                         2      1    2003
                                         3      1    2005
                                         4      2    2002
                                         5      2    2004
                                         6      2    2007
                                          The SAS System          22:58 Sunday, April 17, 2016   2

                                Obs    id    ymin    ymax    year

                                  1     1    2001    2005    2001
                                  2     1    2001    2005    2002
                                  3     1    2001    2005    2003
                                  4     1    2001    2005    2004
                                  5     1    2001    2005    2005
                                  6     2    2002    2007    2002
                                  7     2    2002    2007    2003
                                  8     2    2002    2007    2004
                                  9     2    2002    2007    2005
                                 10     2    2002    2007    2006
                                 11     2    2002    2007    2007
